M,N,perFactorN,K,c,rho,mode,nonLoaderFrac,retention,R,rec85,rec90,rec95,rec90_lo,rec90_hi,meanEstK
20,36,12,3,0.6,0.4,forced,0,pa,500,0.550,0.550,0.434,0.506,0.593,2.53
20,36,12,3,0.8,0,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,36,12,3,0.8,0,forced,0,pa,500,0.968,0.968,0.968,0.949,0.980,2.97
20,36,12,3,0.8,0.4,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,36,12,3,0.8,0.4,forced,0,pa,500,0.702,0.702,0.702,0.660,0.740,2.69
20,36,12,3,0.4,0,free,0,oracle,500,0.886,0.414,0.000,0.372,0.458,3.00
20,36,12,3,0.4,0,free,0,pa,500,0.614,0.256,0.002,0.220,0.296,4.04
20,36,12,3,0.4,0.4,free,0,oracle,500,0.704,0.294,0.000,0.256,0.335,3.00
20,36,12,3,0.4,0.4,free,0,pa,500,0.348,0.144,0.000,0.116,0.177,3.97
20,36,12,3,0.6,0,free,0,oracle,500,1.000,1.000,0.650,0.992,1.000,3.00
20,36,12,3,0.6,0,free,0,pa,500,0.920,0.918,0.592,0.891,0.939,2.99
20,36,12,3,0.6,0.4,free,0,oracle,500,0.994,0.990,0.580,0.977,0.996,3.00
20,36,12,3,0.6,0.4,free,0,pa,500,0.606,0.602,0.366,0.558,0.644,2.65
20,36,12,3,0.8,0,free,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,36,12,3,0.8,0,free,0,pa,500,0.972,0.972,0.972,0.954,0.983,2.97
20,36,12,3,0.8,0.4,free,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,36,12,3,0.8,0.4,free,0,pa,500,0.714,0.714,0.714,0.673,0.752,2.70
20,45,12,3,0.4,0,forced,0.2,oracle,500,0.768,0.324,0.000,0.284,0.366,3.00
20,45,12,3,0.4,0,forced,0.2,pa,500,0.514,0.202,0.000,0.169,0.239,5.72
20,45,12,3,0.4,0.4,forced,0.2,oracle,500,0.484,0.166,0.000,0.136,0.201,3.00
20,45,12,3,0.4,0.4,forced,0.2,pa,500,0.298,0.100,0.000,0.077,0.129,5.08
20,45,12,3,0.6,0,forced,0.2,oracle,500,0.990,0.988,0.684,0.974,0.994,3.00
20,45,12,3,0.6,0,forced,0.2,pa,500,0.904,0.902,0.658,0.873,0.925,3.06
20,45,12,3,0.6,0.4,forced,0.2,oracle,500,0.934,0.920,0.532,0.893,0.941,3.00
20,45,12,3,0.6,0.4,forced,0.2,pa,500,0.578,0.574,0.416,0.530,0.617,2.66
20,45,12,3,0.8,0,forced,0.2,oracle,500,0.992,0.990,0.986,0.977,0.996,3.00
20,45,12,3,0.8,0,forced,0.2,pa,500,0.976,0.974,0.970,0.956,0.985,2.98
20,45,12,3,0.8,0.4,forced,0.2,oracle,500,0.964,0.962,0.952,0.941,0.976,3.00
20,45,12,3,0.8,0.4,forced,0.2,pa,500,0.670,0.670,0.670,0.628,0.710,2.66
